Fig1,An old person doing water aerobics.,"An elderly individual is engaged in aquatic exercise. She moves both arms forward with a slight bend at the elbows, and from this stance, both elbows extend gently. Moments later, she lifts her left leg slightly while keeping it bent, then extends it forward. Her body shifts slightly upwards with each movement, maintaining a slow, rhythmic pace. The water offers resistance, causing her limbs to move more deliberately and with controlled effort."
Fig2,A fit lifeguard doing water aerobics.,"A lifeguard is actively engaged in water exercises. She moves significantly upwards, both arms rising out of the water rapidly. Just before, her elbows are slightly bent, and from this stance, they extend fully. Meanwhile, her legs push downward forcefully against the resistance of the water. Her knees bend slightly and then extend quickly, propelling her body upwards. In a coordinated motion, her left leg moves outward while her right arm sweeps inward, creating a balanced and rhythmic movement in the water."
Fig3,A person is attacked by a swarm of bees.,"The person is surrounded and assaulted by a swarm of bees. Initially, the individual's arms are at their sides. Rapidly, both arms swing wildly around, attempting to swat the bees away. A moment later, the person flinches and ducks, their head moving erratically in all directions to avoid the bees. Shortly after, their feet shuffle rapidly, causing them to stagger and stumble. The person's torso twists and turns, trying to escape the relentless swarm. The movement of the arms and legs becomes increasingly frantic as the attack continues."
Fig4,Reacting to a surprise birthday party.,"A person is in a standing posture, initially relaxed. Suddenly, their eyes widen considerably, and their mouth opens in an O-shape. A moment later, their hands move upwards swiftly to cover their mouth. In the next second, their shoulders lift slightly, and their entire body shifts backwards a little in surprise. Following this, they step forward briskly, extending both arms outwards enthusiastically towards the group."
1,You are changing a baby's stinky nappy.,"You are engaged in the task of changing a baby's nappy. The body is in a crouched position. Both hands move close to the baby's waist, and from this stance, the hands work briskly to unfasten the nappy. A moment later, the hands pull the soiled nappy away and immediately after, they reach for a fresh one. The knees remain slightly bent throughout, allowing for quick adjustments. Both hands then align the new nappy carefully, securing it in place, while the body remains balanced in a semi-crouched position."
2,You are watching something on TV that's really funny.,"You are in a seated position, with your torso slightly inclined towards the screen. Your eyes widen suddenly, and immediately after, your mouth opens widely. In the next moment, your shoulders start to shake subtly. Your hands move rapidly towards your stomach as you lean slightly backward, and then, your whole body shakes rhythmically. Moments prior, your facial muscles are relaxed, but then they contort rapidly, showing a broad grin."
3,"While following a treasure map, you suddenly find the treasure.","You are navigating along a path. Your body shifts towards the front quickly, eyes scanning the surroundings. Suddenly, you halt briskly. Your right hand, which was previously at your side, moves swiftly towards a specific spot. Both hands clasp together as you uncover the treasure. Your knees bend slightly as you crouch down. From this stance, your right hand extends significantly and quickly, revealing the hidden treasure. Moments prior, your gaze was forward, and now it is fixed on the treasure below."
4,You are blowing up a balloon that suddenly bursts.,"You are inflating a balloon. Your cheeks puff out as you blow, and your hands hold the balloon tightly at the nozzle. The balloon gradually expands. Suddenly, it pops. Your eyes widen in surprise, and your hands jerk away from the burst balloon fragments. Your body reacts with a quick, involuntary flinch, your shoulders hunch slightly, and your fingers splay outwards."
5,You are raking up leaves but they are falling off the tree faster than you can gather them.,"A person is gathering leaves. He moves quickly to rake a pile together. His right hand grips the rake handle tightly, and from this stance, the right hand pulls back slightly. A moment later, it pushes forward again. As he bends over, both knees are slightly bent. Meanwhile, leaves fall steadily from the tree, landing in various places around him. Each time he collects a small pile, a few more leaves drop down, dispersing on the ground."
6,You are pulling on a sock when suddenly your big toe bursts through a large hole in the sock,"The body is in a sock-pulling motion. Your right hand grasps the sock and pulls upward, while your foot moves forward into the sock. Moments before, your big toe pushes through the fabric, creating tension. Suddenly, the fabric gives way, and your big toe bursts through a large hole. This causes your foot to halt abruptly, and your hand, still holding the sock, jerks backward slightly."
7,"You are taking a shower, when suddenly the water goes cold.","You are in a showering action. As the water temperature abruptly drops, your body reacts quickly. Your shoulders hunch and your arms instinctively wrap around your torso. A moment later, you twist slightly, trying to evade the cold stream. Your muscles tense up, and you move to the side, away from the icy spray, shivering as you do so."
8,"You are sweeping the floor, when suddenly a mouse runs across in front of you.","You are in a sweeping motion. Your right hand moves rhythmically from side to side, guiding the broom across the floor. Suddenly, you notice a small movement ahead. Your right hand halts abruptly, and both hands grip the broom tighter. Your body shifts back slightly, your knees bending just a bit as you lean away from the unexpected sight. Your eyes widen, following the rapid scurry of the mouse as it darts across your path."
9,"While you are reeling-in a large fish, it suddenly jumps out the water and lands beside you.","The person is engaged in reeling in a sizeable catch. He pulls the rod upwards and a second later, the fish leaps out of the water. Both arms move upwards swiftly, and shortly after, the fish lands near him. In the moments before, his stance is steady, and then his body shifts backwards slightly as the fish unexpectedly emerges from the water. He quickly steps back to balance himself, arms extended as the fish splashes beside him."
10,You are pulling a rope in a tug of war and eventually lose,"A person is in a pulling action. Both arms are extended forward, gripping tightly on a rope. In the following moment, they lean backward significantly, their back arching while feet dig into the ground for stability. Shortly after, they are pulled forward abruptly. Both arms are still extended, but the grip loosens, and they stagger forward. A few seconds later, they lose balance, and both knees buckle slightly as they fall forward. The grip on the rope is finally lost."
11,You are sitting in a lecture and fighting off sleep,"You are seated with your body slightly slouched. Your eyelids droop slowly, and a moment later, they flutter open quickly. Your head tilts forward gradually, then jerks back upright abruptly. Your right hand, resting on your lap, twitches occasionally, as your fingers curl and uncurl faintly. Your shoulders rise slightly with each breath, then drop gently as you exhale."
12,You are carrying a heavy suitcase when it suddenly opens and your clothes fall out.,"The body is carrying a heavy suitcase. Both hands are holding the suitcase firmly. The suitcase suddenly opens, and the hands lose their grip. Right after, the body bends forward as clothes start to fall out. The left hand extends towards the ground, attempting to catch the falling items. The right hand follows suit, extending significantly downward. Both knees bend slightly as the body leans forward more, and clothes scatter around."
13,You are a goldfish in a bowl and you get scared when you see a cat staring at you.,"The goldfish is in a swimming action. Its body shifts slightly towards the edge of the bowl, and from this stance, the fins move rapidly in small motions. A moment later, the goldfish's body freezes and then suddenly darts backwards. Its eyes widen and its mouth opens slightly, and its body remains tense. The fins move faster, propelling it swiftly away from the cat's gaze."
14,You are a dog trying to pick up a very heavy bone.,"The dog lowers its body significantly, almost crouching, and then shifts slightly forward towards the bone. Its front legs are bent, and from this stance, they extend a bit as the dog tries to grasp the bone with its mouth. A moment later, the dog's neck stretches forward, and its jaws clamp onto the bone. The dog then pulls backward, its hind legs pushing against the ground, but the bone remains immovable, causing the dog's body to tense and strain."
15,You are an old woman doing water aerobics,"She moves gently through the water. Her arms lift slowly, pushing against the water's resistance, and then lower with controlled grace. At the same time, her legs extend and bend rhythmically, maintaining balance. Occasionally, she stretches her arms wide, creating ripples, and then brings them back towards her body. Each motion is deliberate, ensuring stability while exercising in the water."
